"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"62081","서울특별시 송파구 가락동","913","0913","0000","헬리오시티","전세","84.9900","202601","17","130,000","0","17","2018","송파대로 345","202603~202803","신규","-","","","아파트"
"62082","서울특별시 송파구 가락동","913","0913","0000","헬리오시티","전세","84.9500","202601","17","113,000","0","28","2018","송파대로 345","202602~202802","갱신","사용","108,000","0","아파트"
"62083","서울특별시 강동구 암사동","509","0509","0000","선사현대아파트","전세","72.8500","202601","17","61,000","0","20","2000","상암로 11","202604~202804","신규","-","","","아파트"
"62084","서울특별시 강동구 암사동","509","0509","0000","선사현대아파트","전세","59.6400","202601","17","49,000","0","18","2000","상암로 11","202603~202803","신규","-","","","아파트"
"62085","서울특별시 강동구 암사동","509","0509","0000","선사현대아파트","전세","59.6400","202601","17","50,000","0","9","2002","상암로 11","202604~202804","신규","-","","","아파트"
"62086","서울특별시 강동구 암사동","509","0509","0000","선사현대아파트","전세","72.8500","202601","17","55,000","0","3","2000","상암로 11","202602~202711","신규","-","","","아파트"
"62087","서울특별시 강동구 암사동","413","0413","0000","프라이어팰리스","전세","59.9830","202601","17","63,000","0","4","2007","고덕로 130","202603~202803","신규","-","","","아파트"
"62088","서울특별시 강동구 암사동","508","0508","0000","삼성광나루","전세","59.6900","202601","17","55,000","0","25","2002","상암로3길 77","202604~202804","신규","-","","","아파트"
"62089","서울특별시 강동구 암사동","413","0413","0000","프라이어팰리스","전세","84.9880","202601","17","79,000","0","9","2007","고덕로 130","202603~202803","신규","-","","","아파트"
"62090","서울특별시 강동구 암사동","509","0509","0000","선사현대아파트","전세","59.6400","202601","17","49,000","0","7","2000","상암로 11","202603~202803","갱신","사용","47,000","0","아파트"
"62091","서울특별시 강동구 암사동","414-2","0414","0002","롯데캐슬퍼스트","월세","84.8100","202601","17","30,500","150","28","2008","고덕로 131","202602~202704","신규","-","","","아파트"
"62092","서울특별시 강동구 암사동","509","0509","0000","선사현대아파트","전세","59.6400","202601","17","58,000","0","21","2002","상암로 11","-","-","-","","","아파트"
"62093","서울특별시 강동구 암사동","414-2","0414","0002","롯데캐슬퍼스트","전세","84.9800","202601","17","73,500","0","10","2008","고덕로 131","202602~202802","갱신","사용","70,000","0","아파트"
"62094","서울특별시 강동구 암사동","414-2","0414","0002","롯데캐슬퍼스트","전세","111.2200","202601","17","112,000","0","27","2008","고덕로 131","202602~202802","신규","-","","","아파트"
"62095","서울특별시 강동구 암사동","414-2","0414","0002","롯데캐슬퍼스트","월세","102.3400","202601","17","31,500","189","5","2008","고덕로 131","202603~202803","갱신","-","30,000","180","아파트"
