"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"89","서울특별시 동작구 상도동","1**","12m미만","44.56","전세","202604","27","25,000","0","1989","장승배기로10길","202605~202805","신규","-","","","단독다가구"
"90","서울특별시 동작구 상도동","2**","8m미만","12.00","월세","202604","27","500","50","2006","성대로1길","202604~202804","신규","-","","","단독다가구"
"91","서울특별시 강서구 방화동","3**","12m미만","39.68","전세","202604","27","24,200","0","2019","방화대로49길","202605~202805","신규","-","","","단독다가구"
"92","서울특별시 구로구 개봉동","3**","8m미만","40.00","월세","202604","27","2,000","65","","개봉로11길","202606~202806","신규","-","","","단독다가구"
"93","서울특별시 구로구 개봉동","1*","8m미만","41.22","월세","202604","27","3,000","35","1989","고척로21라길","202605~202805","신규","-","","","단독다가구"
"94","서울특별시 강서구 등촌동","6**","8m미만","35.12","전세","202604","27","8,000","0","1989","화곡로68길","202605~202805","신규","-","","","단독다가구"
"95","서울특별시 영등포구 당산동1가","1**","8m미만","29.72","월세","202604","27","20,000","6","2019","영신로39길","202606~202806","신규","-","","","단독다가구"
"96","서울특별시 금천구 시흥동","8**","8m미만","31.96","월세","202604","27","3,000","76","2017","독산로40길","202604~202704","갱신","사용","3,000","75","단독다가구"
"97","서울특별시 영등포구 신길동","6**","12m미만","16.00","월세","202604","27","500","33","","신풍로23길","202604~202804","신규","-","","","단독다가구"
"98","서울특별시 금천구 독산동","1**","8m미만","75.00","월세","202604","27","2,000","55","1988","독산로76길","202606~202806","신규","-","","","단독다가구"
"99","서울특별시 구로구 구로동","4**","8m미만","42.41","월세","202604","27","1,000","55","1995","가마산로15가길","202605~202805","신규","-","","","단독다가구"
"100","서울특별시 영등포구 대림동","8**","8m미만","18.00","월세","202604","27","200","32","1989","대림로17길","202604~202804","신규","-","","","단독다가구"
"101","서울특별시 영등포구 대림동","6**","8m미만","39.00","월세","202604","27","400","36","1986","대림로34나길","202604~202804","신규","-","","","단독다가구"
"102","서울특별시 영등포구 신길동","3**","25m이상","19.02","월세","202604","27","1,000","50","1988","도림로","202605~202805","신규","-","","","단독다가구"
"103","서울특별시 구로구 고척동","1**","8m미만","33.00","월세","202604","27","500","45","1989","고척로45길","202606~202806","신규","-","","","단독다가구"
"104","서울특별시 양천구 신월동","6**","8m미만","66.11","월세","202604","27","2,000","20","1983","신월로24길","202604~202804","갱신","-","2,000","20","단독다가구"
"105","서울특별시 양천구 신월동","1**","25m미만","70.98","전세","202604","27","12,000","0","1987","곰달래로13길","202604~202804","신규","-","","","단독다가구"
"106","서울특별시 구로구 구로동","3**","8m미만","119.00","월세","202604","27","500","40","1993","가마산로","202604~202804","갱신","-","8,000","0","단독다가구"
"107","서울특별시 영등포구 신길동","2**","8m미만","44.04","월세","202604","27","3,000","40","1993","신길로43길","202605~202805","신규","-","","","단독다가구"
"108","서울특별시 영등포구 신길동","3**","8m미만","62.34","전세","202604","27","16,000","0","1999","가마산로63길","202605~202805","갱신","-","16,000","0","단독다가구"
"109","서울특별시 영등포구 신길동","1***","12m미만","16.80","전세","202604","27","11,000","0","2016","여의대방로53가길","202605~202611","갱신","-","11,000","0","단독다가구"
"110","서울특별시 영등포구 당산동3가","4**","8m미만","38.40","월세","202604","27","16,000","30","1993","양산로17길","202606~202806","신규","-","","","단독다가구"
"111","서울특별시 송파구 송파동","*","8m미만","56.10","월세","202604","27","8,000","49","1991","송파대로48길","202605~202805","신규","-","","","단독다가구"
"112","서울특별시 양천구 목동","5**","8m미만","11.34","월세","202604","27","2,000","28","1992","목동중앙북로","202604~202804","갱신","-","7,000","0","단독다가구"
"113","서울특별시 양천구 목동","5**","8m미만","33.00","월세","202604","27","5,000","58","1989","목동중앙북로24길","202606~202806","신규","-","","","단독다가구"
"114","서울특별시 양천구 목동","6**","12m미만","33.00","월세","202604","27","1,000","60","1990","목동중앙북로8길","202608~202807","신규","-","","","단독다가구"
"115","서울특별시 강서구 화곡동","3**","8m미만","33.00","전세","202604","27","13,000","0","1969","강서로18길","202604~202804","갱신","-","1,400","25","단독다가구"
"116","서울특별시 강남구 역삼동","6**","8m미만","25.74","월세","202604","27","1,000","92","","봉은사로18길","202605~202705","신규","-","","","단독다가구"
"117","서울특별시 중구 장충동2가","1**","8m미만","22.00","월세","202604","27","1,000","55","","동호로28길","202605~202805","신규","-","","","단독다가구"
"118","서울특별시 강남구 개포동","1***","8m미만","20.52","전세","202604","27","20,000","0","2019","개포로31길","202606~202806","신규","-","","","단독다가구"
"119","서울특별시 광진구 중곡동","1**","12m미만","45.00","월세","202604","27","4,000","105","2009","능동로47길","202606~202806","신규","-","","","단독다가구"
"120","서울특별시 종로구 동숭동","2*","8m미만","22.00","월세","202604","27","8,000","30","1996","동숭3길","-","-","-","","","단독다가구"
"121","서울특별시 종로구 평창동","4**","8m미만","98.61","월세","202604","27","50,000","100","1981","평창길","202605~202805","신규","-","","","단독다가구"
"122","서울특별시 성동구 하왕십리동","9**","8m미만","18.00","전세","202604","27","5,000","0","1989","무학봉12길","202604~202804","신규","-","","","단독다가구"
"123","서울특별시 종로구 명륜3가","*","8m미만","15.00","월세","202604","27","500","50","1976","명륜8길","202604~202802","신규","-","","","단독다가구"
