시군구,번지,건물명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 동작구 상도동,301-28,푸른주택,전세,29.46,"24,300",0,국사봉10길 65-5,연립다세대
서울특별시 관악구 봉천동,1653-24,미림하이츠빌라,월세,58.24,"1,000",77,인헌1다길 7,연립다세대
서울특별시 은평구 대조동,49-50,거성리젠시,전세,50.4,"16,800",0,서오릉로 114-7,연립다세대
서울특별시 서대문구 홍은동,401-7,(401-7),월세,17.8,"2,000",40,거북골로 8-11,연립다세대
서울특별시 은평구 역촌동,10-56,스파티움10,월세,27.4,60,32,역말로7길 3-11,연립다세대
서울특별시 은평구 응암동,115-6,명진렉스빌,전세,80.2,"1,000",0,은평로8길 20-2,연립다세대
서울특별시 은평구 응암동,124-30,위산렉스빌,전세,23.42,"8,800",0,응암로21가길 10-1,연립다세대
서울특별시 은평구 응암동,427-85,한강타운빌,월세,29.75,"2,000",90,응암로22길 9-6,연립다세대
서울특별시 강서구 염창동,113-14,살렘하우스,전세,76.01,"20,900",0,양천로75길 46,연립다세대
서울특별시 마포구 성산동,223-2,(223-2),전세,14.82,"8,000",0,성미산로 89,연립다세대
서울특별시 강북구 수유동,530-93,(530-93),전세,25.59,"7,540",0,인수봉로73나길 5-5,연립다세대
서울특별시 은평구 갈현동,482-20,휴먼아트빌,월세,42.68,"7,200",30,연서로27길 13-17,연립다세대
서울특별시 은평구 역촌동,22-26,명남아이소빌(22-26),전세,72.15,"20,700",0,역말로 52-24,연립다세대
서울특별시 성북구 석관동,338-63,대흥베스트빌라,월세,48.29,"15,750",5,화랑로18바길 26,연립다세대
서울특별시 성북구 장위동,66-150,동양하이츠맨션8차,전세,55.63,"16,000",0,돌곶이로25길 40-6,연립다세대
서울특별시 성북구 장위동,224-17,경복하이빌B동,전세,52.2,"27,000",0,장위로21다길 35,연립다세대
서울특별시 성북구 장위동,233-98,우진빌라(233-98),전세,48.19,"18,000",0,장위로26길 17-21,연립다세대
서울특별시 성북구 장위동,233-177,청운트윈스빌A동,월세,55.2,"13,000",5,장위로24길 27,연립다세대
서울특별시 서대문구 연희동,340-41,(340-41),월세,19.31,"7,900",7,연희로10가길 51-26,연립다세대
서울특별시 도봉구 창동,585-22,유일스타리움,전세,29.5,"15,000",0,덕릉로59바길 50-1,연립다세대
서울특별시 도봉구 창동,621-51,홍진,월세,48.16,"1,000",50,도봉로110마길 9,연립다세대
서울특별시 도봉구 창동,552-32,은순안동숲,월세,23.14,"1,000",50,우이천로 186-8,연립다세대
서울특별시 은평구 불광동,447-51,N겔러리아빌,전세,27.95,"19,000",0,연서로41가길 11-5,연립다세대
서울특별시 서대문구 창천동,100-77,쎈스빌,월세,13.9,500,60,신촌로7길 49-22,연립다세대
서울특별시 은평구 구산동,178-28,동우아이파크,월세,29.53,"2,000",80,갈현로15길 20-6,연립다세대
서울특별시 은평구 구산동,549,다이알로그191,월세,26.26,103,27,갈현로11길 26-11,연립다세대
서울특별시 마포구 연남동,255-17,(255-17),월세,28.95,"1,000",55,동교로39길 4-8,연립다세대
서울특별시 은평구 역촌동,22-47,서부하이츠빌라(22-47),월세,53.43,"3,000",75,연서로 72-2,연립다세대
서울특별시 성북구 정릉동,산87-85,산장빌라(산87-85),전세,59.67,"18,000",0,북악산로 713,연립다세대
서울특별시 은평구 역촌동,37-14,삼인포스트빌,전세,39.7,"16,500",0,연서로4길 8-7,연립다세대
서울특별시 마포구 망원동,417-12,아가도스,월세,28.56,"4,500",100,망원로 34-14,연립다세대
서울특별시 강북구 미아동,258-670,청송주택나,전세,38.37,"6,300",0,오패산로52사길 9,연립다세대
서울특별시 마포구 아현동,749-3,"현대빌라(A,B동)(구389-10)",월세,39.48,"2,000",75,환일8길 11,연립다세대
서울특별시 도봉구 도봉동,593-37,도봉숲아뜨리움,전세,55.18,"30,000",0,도봉로167길 38,연립다세대
서울특별시 강서구 등촌동,528-12,오성트레빌BS,월세,59.04,"17,000",30,등촌로51길 76,연립다세대
서울특별시 강서구 등촌동,523-16,진영빌라,월세,43.3,"16,000",10,등촌로39나길 7,연립다세대
서울특별시 강북구 수유동,522-18,한마음빌라,전세,68.84,"17,300",0,삼각산로 47,연립다세대
서울특별시 서대문구 홍은동,400-28,프라임,월세,45.74,500,60,거북골로 4-19,연립다세대
서울특별시 마포구 성산동,92-3,더클래스,월세,20.0,"25,000",5,성산로8길 40,연립다세대
서울특별시 마포구 용강동,494-83,천수빌,전세,45.03,"23,070",0,대흥로4길 7,연립다세대
서울특별시 노원구 상계동,1117-16,에스엔타워,월세,17.25,"9,500",10,동일로242가길 22,연립다세대
서울특별시 양천구 신월동,331-47,정진빌라,전세,49.2,"7,200",0,지양로 173,연립다세대
