시군구,번지,단지명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 강동구 길동,477,이편한세상강동에코포레,전세,84.99,"67,000",0,천중로 253,아파트
서울특별시 서초구 잠원동,60-3,메이플자이,전세,43.0502,"68,640",0,신반포로 253,아파트
서울특별시 서초구 잠원동,60-3,메이플자이,전세,43.0502,"68,640",0,신반포로 253,아파트
서울특별시 강동구 상일동,515,고덕숲아이파크,전세,59.97,"44,382",0,고덕로80길 134,아파트
서울특별시 송파구 장지동,905,위례포레샤인23단지,전세,59.66,"38,587",0,위례순환로 477,아파트
서울특별시 송파구 신천동,7,장미1,월세,71.2,"10,000",260,올림픽로35길 104,아파트
서울특별시 서초구 서초동,1686-9,서초교대e편한세상,전세,59.9,"101,000",0,서초중앙로24길 33,아파트
서울특별시 서초구 서초동,1685,삼풍아파트,전세,163.81,"126,000",0,서초중앙로 200,아파트
서울특별시 송파구 잠실동,35,트리지움,월세,149.45,"153,000",60,잠실로 62,아파트
서울특별시 서초구 서초동,1682,서초래미안,전세,127.66,"160,000",0,서초대로65길 13-10,아파트
서울특별시 송파구 잠실동,27,주공아파트 5단지,전세,76.5,"53,000",0,송파대로 567,아파트
서울특별시 송파구 가락동,913,헬리오시티,전세,84.99,"122,000",0,송파대로 345,아파트
서울특별시 서초구 신원동,615,서초포레스타7단지,전세,59.94,"48,828",0,청계산로11길 7-12,아파트
서울특별시 서초구 신원동,615,서초포레스타7단지,전세,49.39,"42,510",0,청계산로11길 7-12,아파트
서울특별시 서초구 잠원동,65-32,신반포7,전세,112.25,"90,000",0,잠원로 88,아파트
서울특별시 서초구 잠원동,160,신반포자이,월세,84.98,"150,000",150,잠원로 60,아파트
서울특별시 강동구 명일동,251-1,현대(명일),전세,57.09,"55,000",0,양재대로134길 87,아파트
서울특별시 송파구 신천동,11-9,한신잠실코아,월세,52.51,"25,000",60,올림픽로35가길 11,아파트
서울특별시 송파구 풍납동,401-1,쌍용,월세,84.85,"21,900",150,올림픽로47길 9,아파트
서울특별시 송파구 신천동,17,파크리오,전세,84.9,"106,000",0,올림픽로 435,아파트
서울특별시 서초구 서초동,1620-20,서초동롯데캐슬리버티,전세,117.87,"106,850",0,사임당로10길 39,아파트
서울특별시 서초구 잠원동,33-11,월드메르디앙,전세,84.78,"95,000",0,신반포로45길 71,아파트
서울특별시 강동구 강일동,670,강일리버파크5단지,전세,84.83,"60,000",0,아리수로97길 20,아파트
서울특별시 강동구 천호동,571,래미안강동팰리스,전세,59.98,"75,000",0,천호대로 1077,아파트
서울특별시 강동구 암사동,675,힐스테이트 강동 리버뷰,전세,59.9958,"31,689",0,올림픽로91길 30,아파트
서울특별시 강동구 성내동,611,그란츠리버파크,전세,44.8835,"34,476",0,천호대로 1050,아파트
서울특별시 강동구 암사동,509,선사현대아파트,전세,82.94,"50,900",0,상암로 11,아파트
서울특별시 강동구 강일동,114,강동리버스트4단지,전세,59.99,"38,532",0,아리수로93가길 110,아파트
서울특별시 강동구 성내동,379-17,SM엘루이,월세,14.83,"18,740",4,양재대로 1419,아파트
서울특별시 강동구 암사동,474-10,새롬,월세,68.45,100,20,암사길 59,아파트
서울특별시 강동구 강일동,114,강동리버스트4단지,전세,74.63,"42,354",0,아리수로93가길 110,아파트
서울특별시 강동구 성내동,459-2,청구빌라트,전세,244.59,"150,000",0,강동대로 143-16,아파트
서울특별시 강동구 성내동,412-1,태천해오름(412-1),월세,84.94,"40,000",90,풍성로53길 12-18,아파트
서울특별시 강동구 성내동,611,그란츠리버파크,전세,44.8835,"34,476",0,천호대로 1050,아파트
서울특별시 강동구 성내동,611,그란츠리버파크,전세,44.8835,"34,476",0,천호대로 1050,아파트
서울특별시 강동구 성내동,606,올림픽파크한양수자인,전세,59.55,"49,764",0,성내로 80,아파트
서울특별시 강동구 암사동,675,힐스테이트 강동 리버뷰,전세,59.9958,"45,162",0,올림픽로91길 30,아파트
서울특별시 강동구 강일동,72,힐스테이트리슈빌강일,전세,84.8935,"66,100",0,아리수로93다길 80,아파트
서울특별시 강동구 강일동,717,고덕리엔파크2단지,전세,114.97,"55,188",0,고덕로 427,아파트
서울특별시 마포구 공덕동,188-108,마포현대,전세,84.87,"26,400",0,마포대로11길 84,아파트
서울특별시 양천구 목동,404-13,목동센트럴푸르지오,전세,84.9914,"89,700",0,오목로 354,아파트
서울특별시 양천구 목동,902,목동신시가지2,전세,152.64,"104,000",0,목동서로 70,아파트
서울특별시 양천구 목동,902,목동신시가지2,월세,65.82,"5,000",220,목동서로 70,아파트
서울특별시 양천구 목동,961,하이페리온2,월세,133.363,"120,000",160,오목로 300,아파트
서울특별시 양천구 목동,962-1,트라팰리스이스턴에비뉴,전세,127.65,"192,000",0,오목로 299,아파트
서울특별시 양천구 목동,904,목동신시가지4,월세,67.58,"50,000",4,목동서로 130,아파트
서울특별시 양천구 신정동,326,목동신시가지12,월세,71.64,"32,000",60,목동동로 50,아파트
서울특별시 강서구 마곡동,751,마곡엠벨리(15단지),전세,59.79,"48,048",0,마곡중앙로 36,아파트
서울특별시 양천구 신정동,1259,신트리1,전세,49.95,"39,000",0,신정로 293,아파트
서울특별시 마포구 염리동,515-1,상록,전세,57.88,"50,000",0,숭문길 106,아파트
서울특별시 강서구 마곡동,751,마곡엠벨리(15단지),전세,59.79,"48,048",0,마곡중앙로 36,아파트
서울특별시 마포구 염리동,521,마포자이,월세,84.692,"95,000",60,독막로42길 2,아파트
서울특별시 강서구 마곡동,750,마곡엠벨리(14단지),전세,59.79,"48,048",0,마곡중앙로 33,아파트
서울특별시 양천구 목동,912,목동신시가지5,전세,95.06,"93,000",0,목동동로 350,아파트
서울특별시 강서구 마곡동,750,마곡엠벨리(14단지),전세,59.79,"48,048",0,마곡중앙로 33,아파트
서울특별시 양천구 신정동,1283,푸른마을3,전세,59.91,"37,000",0,신정로11길 63,아파트
서울특별시 강서구 마곡동,750,마곡엠벨리(14단지),전세,59.79,"48,048",0,마곡중앙로 33,아파트
서울특별시 강서구 내발산동,742,마곡수명산파크1단지,전세,84.53,"53,200",0,강서로47길 108,아파트
서울특별시 강서구 마곡동,750,마곡엠벨리(14단지),전세,59.79,"48,048",0,마곡중앙로 33,아파트
서울특별시 양천구 신월동,1055,신정두산위브,전세,107.57,"74,000",0,신월로20길 7,아파트
서울특별시 마포구 망원동,525,솔루체2차아파트,전세,46.11,"48,500",0,월드컵로31길 116,아파트
서울특별시 마포구 신수동,462,신촌숲아이파크,월세,84.665,"1,000",130,광성로 17,아파트
